date,location,state,max_temperature,min_temperature,avg_temperature,temp_range,humidity,rainfall,wind_speed,risk_level
2023-08-29,Ashoknagar,India,34.9,25.0,27.5,9.9,67.0,0.0,20.5,Moderate
2023-08-29,Raisen,India,34.9,25.0,27.5,9.9,70.0,0.0,15.5,Moderate
2023-08-29,Chhindwara,India,34.9,25.0,26.3,9.9,70.0,0.0,18.4,Moderate
2023-08-29,Betul,India,34.9,25.0,25.6,9.9,76.0,0.0,16.9,Moderate
2023-08-29,Hoshangabad,India,34.9,25.0,27.2,9.9,74.0,0.0,16.2,Moderate
2023-08-29,Sehore,India,34.9,25.0,25.9,9.9,77.0,0.0,15.8,Moderate
2023-08-29,Jabalpur,India,34.9,25.0,28.0,9.9,70.0,0.1,15.1,Moderate
2023-08-29,Narsimhapur,India,34.9,25.0,27.7,9.9,71.0,0.0,17.6,Moderate
2023-08-29,Panna,India,34.9,25.0,30.0,9.9,60.0,0.0,18.7,Moderate
2023-08-29,Ujjain,India,34.9,25.0,26.0,9.9,74.0,0.0,19.1,Moderate
2023-08-29,Rewa,India,34.9,25.0,30.6,9.9,57.0,0.0,15.8,Moderate
2023-08-29,Dindori,India,34.9,25.0,30.3,9.9,55.0,0.1,8.6,Low
2023-08-29,Balaghat,India,34.9,25.0,28.3,9.9,67.0,0.0,10.8,Low
2023-08-29,Barwani,India,34.9,25.0,27.2,9.9,65.0,0.0,14.4,Low
2023-08-29,Satna,India,34.9,25.0,30.1,9.9,58.0,0.0,18.0,Moderate
2023-08-29,Chhatarpur,India,34.9,25.0,30.0,9.9,60.0,0.0,18.7,Moderate
2023-08-29,Indore,India,34.9,25.0,26.0,9.9,74.0,0.0,19.1,Moderate
2023-08-29,Ratlam,India,34.9,25.0,26.5,9.9,64.0,0.0,22.7,Moderate
2023-08-29,Harda,India,34.9,25.0,28.4,9.9,64.0,0.0,20.2,Moderate
2023-08-29,Sagar,India,34.9,25.0,26.9,9.9,71.0,0.0,18.4,Moderate
2023-08-29,Neemuch,India,34.9,25.0,26.7,9.9,66.0,0.0,24.1,Moderate
2023-08-29,Tikamgarh,India,34.9,25.0,28.1,9.9,65.0,0.3,17.6,Moderate
2023-08-29,Guna,India,34.9,25.0,27.4,9.9,69.0,0.0,20.2,Moderate
2023-08-29,Dewas,India,34.9,25.0,26.0,9.9,74.0,0.0,19.1,Moderate
2023-08-29,Mandsaur,India,34.9,25.0,27.0,9.9,66.0,0.0,23.8,Moderate
2023-08-29,Khargone,India,34.9,25.0,27.2,9.9,65.0,0.0,14.4,Low
2023-08-29,Sheopur,India,34.9,25.0,29.9,9.9,57.0,0.0,16.9,Moderate
2023-08-29,Morena,India,34.9,25.0,31.6,9.9,53.0,0.0,20.9,Moderate
2023-08-29,Bhind,India,34.9,25.0,32.4,9.9,50.0,0.1,20.5,Moderate
2023-08-29,Jhabua,India,34.9,25.0,27.3,9.9,63.0,0.0,20.9,Moderate
2023-08-29,Seoni,India,34.9,25.0,26.7,9.9,69.0,0.0,17.3,Moderate
2023-08-29,Khandwa,India,34.9,25.0,28.2,9.9,64.0,0.0,16.2,Moderate
2023-08-29,Umaria,India,34.9,25.0,27.0,9.9,74.0,0.2,15.5,Moderate
2023-08-29,Gwalior,India,34.9,25.0,31.1,9.9,55.0,0.0,20.9,Moderate
2023-08-29,Damoh,India,34.9,25.0,28.8,9.9,64.0,0.0,16.6,Moderate
2023-08-29,Dhar,India,34.9,25.0,26.0,9.9,74.0,0.0,19.1,Moderate
2023-08-29,Katni,India,34.9,25.0,32.0,9.9,63.0,0.0,16.9,Moderate
2023-08-29,Sidhi,India,34.9,25.0,30.1,9.9,60.0,0.0,14.8,Low
2023-08-29,Alirajpur,India,34.9,25.0,28.5,9.9,61.0,0.0,19.8,Moderate
2023-08-29,Bhopal,India,34.9,25.0,26.9,9.9,72.0,0.0,14.8,Low
2023-08-29,Rajgarh,India,34.9,25.0,30.8,9.9,53.0,0.0,17.3,Moderate
2023-08-29,Mandla,India,34.9,25.0,27.0,9.9,72.0,0.2,12.2,Low
2023-08-29,Shajapur,India,34.9,25.0,26.9,9.9,67.0,0.0,20.9,Moderate
2023-08-29,Shivpuri,India,34.9,25.0,27.7,9.9,67.0,0.0,21.6,Moderate
2023-08-29,Datia,India,34.9,25.0,30.2,9.9,59.0,0.1,19.1,Moderate
2023-08-29,Burhanpur,India,34.9,25.0,28.6,9.9,64.0,0.0,13.3,Low
2023-08-29,Anuppur,India,34.9,25.0,27.6,9.9,63.0,0.2,11.5,Low
2023-08-29,Shahdol,India,34.9,25.0,27.7,9.9,68.0,0.5,13.0,Low
2023-08-29,Vidisha,India,34.9,25.0,27.6,9.9,70.0,0.0,15.5,Moderate
2023-08-29,Una,India,34.9,25.0,29.2,9.9,61.0,0.0,19.8,Moderate
2023-08-29,Solan,India,34.9,25.0,20.7,9.9,59.0,0.0,8.3,Low
2023-08-29,Sirmaur,India,34.9,25.0,31.8,9.9,54.0,0.1,16.6,Moderate
2023-08-29,Chamba,India,34.9,25.0,20.3,9.9,64.0,0.0,10.1,Low
2023-08-29,Shimla,India,34.9,25.0,20.7,9.9,59.0,0.0,8.3,Low
2023-08-29,Bilaspur,India,34.9,25.0,30.9,9.9,51.0,0.0,5.8,Low
2023-08-29,Kangra,India,34.9,25.0,23.8,9.9,62.0,0.0,7.9,Low
2023-08-29,Mandi,India,34.9,25.0,25.5,9.9,56.0,0.0,4.3,Low
2023-08-29,Hamirpur,India,34.9,25.0,30.8,9.9,57.0,0.0,13.0,Low
2023-08-29,Talab Data,India,34.9,25.0,27.2,9.9,65.0,1.2,8.3,Low
2023-08-29,Anantnag,India,34.9,25.0,15.3,9.9,62.0,0.0,4.3,Low
